5.9642 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
135.3502 	EXP 	grating: autoDraw = True
135.3669 	EXP 	fixation: autoDraw = False
135.6500 	EXP 	grating: autoDraw = False
137.2571 	EXP 	New trial (rep=57, index=0): None
137.2589 	DATA 	Keypress: up
137.2664 	EXP 	fixation: autoDraw = False
137.2664 	EXP 	grating: autoDraw = False
137.2664 	EXP 	grating: ori = 0.0
137.2664 	EXP 	fixation: autoDraw = True
138.2662 	EXP 	fixation: autoDraw = False
138.2662 	EXP 	grating: autoDraw = True
138.5661 	EXP 	grating: autoDraw = False
138.9874 	EXP 	New trial (rep=58, index=0): None
138.9889 	DATA 	Keypress: up
138.9991 	EXP 	fixation: autoDraw = False
138.9991 	EXP 	grating: autoDraw = False
138.9991 	EXP 	grating: ori = 0.0
138.9991 	EXP 	fixation: autoDraw = True
139.9994 	EXP 	fixation: autoDraw = False
139.9994 	EXP 	grating: autoDraw = True
140.2990 	EXP 	grating: autoDraw = False
140.4860 	EXP 	New trial (rep=59, index=0): None
140.4874 	DATA 	Keypress: up
140.4987 	EXP 	fixation: autoDraw = False
140.4987 	EXP 	grating: autoDraw = False
140.4987 	EXP 	grating: ori = 0.0
140.4987 	EXP 	fixation: autoDraw = True
141.4991 	EXP 	fixation: autoDraw = False
141.4991 	EXP 	grating: autoDraw = True
141.7987 	EXP 	grating: autoDraw = False
142.0253 	EXP 	New trial (rep=60, index=0): None
142.0275 	DATA 	Keypress: up
142.0318 	EXP 	fixation: autoDraw = False
142.0318 	EXP 	grating: autoDraw = False
142.0318 	EXP 	grating: ori = 0.0
142.0318 	EXP 	fixation: autoDraw = True
143.0320 	EXP 	fixation: autoDraw = False
143.0320 	EXP 	grating: autoDraw = True
143.3314 	EXP 	grating: autoDraw = False
144.0196 	EXP 	New trial (rep=61, index=0): None
144.0216 	DATA 	Keypress: up
144.0312 	EXP 	fixation: autoDraw = False
144.0312 	EXP 	grating: autoDraw = False
144.0312 	EXP 	grating: ori = 0.0
144.0312 	EXP 	fixation: autoDraw = True
145.0311 	EXP 	fixation: autoDraw = False
